middle_date,number_unique_users,no_real_movements,jl_simple_means_over_user_means,graph_modularity,rel_tweets_in_residential_areas,mean_rog
2020-04-09,,,,,,
2020-04-10,,,,,,
2020-04-11,,,,,,
2020-04-12,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-18,,,,,,
2020-04-19,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,0.0,0.19256756756756752,0.40942008230761434,0.9428966142661279,0.9265067578416104,0.6298320739460153
2020-04-24,0.0043340556759460655,0.2035472972972971,0.3986191875284275,0.9435731978954882,0.9203907171482484,0.6301978029782916
2020-04-25,0.008501416902817058,0.21537162162162143,0.398499312455172,0.9517459403339746,0.917659292372858,0.6267972946478526
2020-04-26,0.013335555925987813,0.23184121621621598,0.39848123549979536,0.9517369415208187,0.9147416685266484,0.6291038953863436
2020-04-27,0.016502750458409692,0.24915540540540526,0.4102346235138875,0.9513421643436587,0.9126894268173162,0.6247347655673019
2020-04-28,0.022170361726954486,0.2677364864864865,0.4280144852493002,0.9444799798458938,0.9182411204858908,0.6284924589362808
2020-04-29,0.031005167527921425,0.2804054054054052,0.4370559666605433,0.9404993174152294,0.9259008908476063,0.6263561887211995
2020-04-30,0.03567261210201711,0.29138513513513514,0.45117792278057417,0.9385157771589859,0.9397712660897942,0.6341842878678923
2020-05-01,0.04034005667611279,0.29940878378378366,0.4613512915851695,0.9432355072404579,0.952019864252273,0.6375612652776532
2020-05-02,0.04734122353725631,0.2972972972972973,0.4633840533338553,0.9426007819476019,0.9676075137047869,0.6291443480998328
2020-05-03,0.050675112518753264,0.2930743243243243,0.4609881242756412,0.9473946565357413,0.980517904106817,0.6139318393477934
2020-05-04,0.05317552925487591,0.2833614864864863,0.4581956492287264,0.9567667167811337,0.9904916042888938,0.5964764463162064
2020-05-05,0.05450908484747464,0.2630912162162163,0.449330971849764,0.9644683606538217,1.0,0.584335106045023
2020-05-06,0.054175695949325024,0.24239864864864868,0.4386645887826016,0.9711542041048162,0.9991907748330972,0.5722973630665196
2020-05-07,0.05134189031505249,0.22423986486486466,0.4235763778888337,0.9751691082279896,0.9957515678737615,0.5582922080345601
2020-05-08,0.05450908484747464,0.21241554054054035,0.4076450645727761,0.9784710292468743,0.990896216872345,0.5526302622134306
2020-05-09,0.052675445907651226,0.20439189189189183,0.3931200888911711,0.9839453682195896,0.9856362532874773,0.544438910452729
2020-05-10,0.053842307051175146,0.18961148648648643,0.37032170290518857,0.981176733943392,0.9813878211612381,0.534347208676829
2020-05-11,0.05450908484747464,0.18327702702702706,0.35101892586150196,0.9883023192246962,0.9716771191584057,0.5296268878375974
2020-05-12,0.057009501583597286,0.17483108108108103,0.3214525895862671,0.9881139769410141,0.9674286870321672,0.51699839287468
2020-05-13,0.05900983497249551,0.17314189189189189,0.3014487290704786,0.9942189015568064,0.9617641108638478,0.5071385670238455
2020-05-14,0.06167694615769297,0.17187499999999994,0.29167985441940364,1.0,0.958527210196237,0.49809994465398655
2020-05-15,0.07051175195865991,0.18158783783783758,0.284179491973707,0.9898233479509935,0.9522557151527417,0.4870137739867144
2020-05-16,0.08001333555592607,0.17736486486486489,0.27788421361849797,0.9833921479060216,0.9393081124822978,0.47318413604486614
2020-05-17,0.09184864144024009,0.1701858108108108,0.2657446767846811,0.9639796246573059,0.927169734978759,0.4555419837353327
2020-05-18,0.1036839473245541,0.15413851351351346,0.25555248601895053,0.9619128457258215,0.9170544203924748,0.43548844503839507
2020-05-19,0.11718619769961672,0.15076013513513517,0.257785744691831,0.9527150618879999,0.9132106008496866,0.42654253088060284
2020-05-20,0.13368894815802643,0.13893581081081083,0.2548395304279908,0.9350702621642385,0.9077483309730935,0.40920443936497863
2020-05-21,0.14769128188031347,0.12964527027027006,0.2522275426003864,0.9182374531518583,0.8998583855957917,0.3948005819203102
2020-05-22,0.1590265044174028,0.13217905405405395,0.2499416868503337,0.9082311275468715,0.8915638276350395,0.38571116920656645
2020-05-23,0.16702783797299542,0.14358108108108106,0.24478023398760726,0.893084436458502,0.8887315395508798,0.3808936331279181
2020-05-24,0.17536256042673767,0.15624999999999978,0.24284912991948435,0.872159792406701,0.8800323690066766,0.37648737763928997
2020-05-25,0.1833638939823303,0.16849662162162166,0.22964959495255216,0.8516012268559161,0.8745700991300827,0.37378715160358617
2020-05-26,0.19236539423237206,0.18327702702702706,0.21862152271582624,0.8447635106030587,0.8650617034189766,0.36211932410660336
2020-05-27,0.2015335889314886,0.20185810810810795,0.20272887242031415,0.8252456267253961,0.8523164070402597,0.3538268779557539
2020-05-28,0.2140356726121021,0.22297297297297272,0.18599612361941875,0.8006583008911244,0.8387618854946398,0.3472951845349146
2020-05-29,0.22303717286214358,0.2428209459459459,0.18816687735865728,0.7635569527657456,0.8290511834918067,0.3596958899175719
2020-05-30,0.2308718119686614,0.267314189189189,0.18913165605836668,0.7396191988942702,0.8177220311551694,0.37107466157371993
2020-05-31,0.23820636772795456,0.2867398648648649,0.19845725777729725,0.7144166565422675,0.8053813473599029,0.3905701342081047
2020-06-01,0.24754125687614592,0.311233108108108,0.20920907640087155,0.6942983942764799,0.7881853125632211,0.41019401801821054
2020-06-02,0.2560426737789632,0.3277027027027025,0.2191821826289956,0.6606168818336513,0.7691685211410082,0.4228435835078472
2020-06-03,0.26054342390398383,0.34206081081081074,0.2380205038573929,0.630123129718856,0.7572324499291927,0.4413064837909159
