date;user_count;weekly citywide penetration rate;amount of movements;average distance;Modularity;Residential;Radius of Gyration
2020-06-06 00:00:00;1968575;0,029172718;5347238;4,084778001;0,939921422;81,05337986;8,246793652
2020-06-07 00:00:00;2074750;0,030746147;4435814;3,879223738;0,953205892;81,42956428;7,687457648
2020-06-08 00:00:00;2259351;0,033481787;6170171;4,460358007;0,937233275;80,16929493;7,561719943
2020-06-09 00:00:00;2259392;0,033482395;6196701;4,325440343;0,93799411;80,13986743;7,298890698
2020-06-10 00:00:00;2274236;0,033702371;6437460;4,4478168;0,935170419;79,82044863;7,547811811
2020-06-11 00:00:00;2168198;0,032130972;5201653;4,099669201;0,946956874;80,5152745;7,026021561
2020-06-12 00:00:00;2277116;0,03374505;6497714;4,418808743;0,934701369;80,53355497;7,686486107
2020-06-13 00:00:00;2177862;0,032274185;5641966;4,25046338;0,942506913;81,10459014;8,587065764
2020-06-14 00:00:00;2075218;0,030753082;4566351;4,014415221;0,953127713;81,61777523;7,972840328
2020-06-15 00:00:00;2251171;0,033360566;6058674;4,375440714;0,938402191;79,87779199;7,450906406
2020-06-16 00:00:00;2263863;0,033548651;6224483;4,430170306;0,937897845;79,76708267;7,5294418
2020-06-17 00:00:00;2288420;0,033912567;6489403;4,453188427;0,935427234;79,77842487;7,599517489
2020-06-18 00:00:00;2281995;0,033817353;6414190;4,375326118;0,936924421;80,04026551;7,564240343
2020-06-19 00:00:00;2301785;0,034110625;6556775;4,594461385;0,933673715;79,9177834;8,044696774
2020-06-20 00:00:00;2205681;0,03268644;5853871;4,404750934;0,938687655;80,63348786;8,906818851
2020-06-21 00:00:00;2075218;0,030753082;4566351;4,014415221;0,953127713;81,61777523;8,014875398
2020-06-22 00:00:00;2080454;0,030830676;5843090;4,278636155;0,930822944;79,97857101;7,318692849
2020-06-23 00:00:00;2272736;0,033680142;5843307;4,340163653;0,936353002;79,95187837;7,409464056
2020-06-24 00:00:00;2289002;0,033921191;6469480;4,486717301;0,936178642;79,92495381;7,701903273
2020-06-25 00:00:00;2282636;0,033826852;6468007;4,382992726;0,935752472;79,493602;7,620073628
2020-06-26 00:00:00;2306643;0,034182617;6711752;4,602920928;0,933413741;79,86708874;8,101956921
2020-06-27 00:00:00;2228695;0,03302749;5997000;4,197245254;0,940477549;80,91231083;8,575341177
2020-06-28 00:00:00;2097344;0,031080972;4747937;4,104077848;0,951081287;81,13516864;8,218300257
2020-06-29 00:00:00;2263966;0,033550178;6311122;4,457033711;0,936097591;79,79047512;7,681840159
2020-06-30 00:00:00;2285139;0,033863945;6596340;4,438698827;0,935075529;79,75784914;7,628858659
2020-07-01 00:00:00;2295119;0,034011841;6693239;4,527770488;0,933918311;79,65607313;7,817829879
2020-07-02 00:00:00;2297505;0,034047199;6703637;4,54664464;0,933579433;79,58180163;7,956677523
2020-07-03 00:00:00;2309826;0,034229787;6886385;4,614222227;0,931605044;79,78531009;8,164329288
2020-07-04 00:00:00;2225512;0,03298032;6173782;4,426862365;0,938552863;80,59646024;9,030681586
2020-07-05 00:00:00;2135284;0,031643213;5240766;4,186570046;0,946592954;81,10271171;8,408815403
2020-07-06 00:00:00;2302911;0,034127312;6736951;4,553565491;0,933258362;79,66245407;7,897626134
2020-07-07 00:00:00;2315603;0,034315397;6884788;4,394894242;0,932712283;79,6439168;7,592038755
2020-07-08 00:00:00;2329214;0,034517101;7114216;4,546447212;0,931598704;79,66245971;7,893475912
2020-07-09 00:00:00;2324652;0,034449496;6902593;4,55619058;0,93241098;79,45716379;8,015887724
2020-07-10 00:00:00;2333790;0,034584914;7090305;4,674414501;0,929213387;79,61141746;8,314702472
2020-07-11 00:00:00;2228588;0,033025904;6120831;4,516867586;0,935172418;80,72616961;9,234717655
2020-07-12 00:00:00;2145706;0,031797659;5339382;4,464040509;0,945737084;80,8700159;8,950288487
2020-07-13 00:00:00;2301257;0,034102801;6616786;4,601895653;0,931024558;79,26730725;8,026646255
2020-07-14 00:00:00;2317358;0,034341405;6663888;4,425871564;0,934509977;79,48917613;7,689823345
2020-07-15 00:00:00;2304869;0,034156328;6565746;4,460687681;0,933721144;79,61148021;7,781133746
2020-07-16 00:00:00;2324224;0,034443154;6817522;4,503739785;0,933105629;79,54159865;7,963500863
2020-07-17 00:00:00;2341847;0,034704312;7122080;4,631803984;0,928599375;79,34660303;8,280027691
2020-07-18 00:00:00;2256382;0,033437789;6520505;4,427979451;0,935600047;80,26316623;9,116742741
2020-07-19 00:00:00;2164026;0,032069146;5394547;4,491246295;0,943867287;80,67523379;9,04128221
2020-07-20 00:00:00;2316854;0,034333936;6678286;4,646589389;0,931673896;79,45908636;8,149117869
2020-07-21 00:00:00;2268008;0,033610077;4676591;4,802933215;0,91926297;79,25500585;8,410556788
2020-07-22 00:00:00;2337999;0,034647288;6776703;4,579169771;0,929128578;79,40397249;8,036423557
2020-07-23 00:00:00;2347876;0,034793657;7072276;4,531153464;0,931397687;79,36656089;8,054867114
2020-07-24 00:00:00;2363197;0,035020702;7433846;4,731226234;0,927995795;79,43717778;8,50100895
2020-07-25 00:00:00;2278365;0,03376356;6718878;4,572170019;0,93418705;80,54672611;9,418306555
2020-07-26 00:00:00;2173127;0,032204016;5606395;4,474005607;0,943744643;80,94389484;9,052269343
2020-07-27 00:00:00;2348178;0,034798133;6927451;4,665378279;0,931228602;79,38925273;8,224957822
2020-07-28 00:00:00;2344577;0,034744769;7047361;4,664759714;0,93017454;79,17741947;8,203864016
2020-07-29 00:00:00;2333196;0,034576111;7037005;4,571383759;0,932243912;79,31321046;8,064427847
2020-07-30 00:00:00;2311607;0,03425618;6770526;4,483190386;0,933608918;79,47869337;8,010552265
2020-07-31 00:00:00;2351818;0,034852075;7333609;4,656563179;0,928512957;79,43749349;8,408633722
2020-08-01 00:00:00;2271974;0,03366885;6687841;4,481159242;0,935172783;80,34053459;9,296505005
2020-08-02 00:00:00;2175603;0,032240708;5524228;4,441384304;0,944150873;80,77006017;9,035568427
2020-08-03 00:00:00;2360497;0,034980691;7187731;4,724209346;0,930055093;79,24346825;8,372870754
2020-08-04 00:00:00;2364368;0,035038056;7238373;4,572931132;0,929330065;79,59767948;8,080589158
2020-08-05 00:00:00;2371838;0,035148755;7382561;4,608267441;0,929203297;79,13267954;8,172834644
2020-08-06 00:00:00;2374690;0,03519102;7464882;4,529738853;0,927340276;79,09013297;8,136355255
2020-08-07 00:00:00;2407489;0,035677075;7887564;4,685533228;0,92484978;79,1538332;8,502795141
2020-08-08 00:00:00;2310930;0,034246147;7143152;4,548617657;0,930402613;80,07726366;9,459945062
2020-08-09 00:00:00;2222949;0,032942338;5862249;4,703450633;0,93883764;80,95780688;9,54930231
2020-08-10 00:00:00;2383810;0,035326171;7202052;4,736301686;0,929309816;79,31550213;8,436651035
2020-08-11 00:00:00;2383896;0,035327445;7202568;4,635460414;0,929366249;79,35114049;8,235155515
2020-08-12 00:00:00;2390680;0,035427979;7333344;4,639688441;0,929979608;79,25721843;8,271405674
