middle_date,number_unique_users,no_real_movements,jl_simple_means_over_user_means,graph_modularity,rel_tweets_in_residential_areas,mean_rog
2020-04-11,,,,,,
2020-04-12,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-18,,,,,,
2020-04-19,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-25,0.0,0.004259933390132462,0.0,1.0,0.9186613439263546,0.0
2020-04-26,0.0033171163202122453,0.008442413445898899,0.008367319084155592,0.9973860642098474,0.9191390557999625,0.007471237727793348
2020-04-27,0.006191950464396285,0.011385640151808535,0.01604153573501245,0.9931018730734996,0.9259644093299534,0.011620241203018262
2020-04-28,0.009877635264632152,0.01386414685152201,0.02723535465901162,0.9872548467384884,0.9350215395295829,0.020465465643140432
2020-04-29,0.012752469408816075,0.01618774688250331,0.03965570492230279,0.9816458178212465,0.941377567909642,0.02450874889750673
2020-04-30,0.01599587203302362,0.01750445356672601,0.05603462104734555,0.9707681855663122,0.951119226752088,0.031766694254079075
2020-05-01,0.019460415745245385,0.017969173572922294,0.06497698970437481,0.9628258930934445,0.9605402347182906,0.03701611654222761
2020-05-02,0.02152439923337748,0.017349546897993957,0.07970810731216502,0.9547014094792698,0.9705129153125291,0.0473145555458279
2020-05-03,0.023367241633495354,0.014948493532646632,0.08899904565799295,0.946601256646522,0.9808883599167316,0.04966478422350715
2020-05-04,0.0243992333775614,0.013012160173495468,0.09275761479101712,0.9382645026298617,0.9892418158546636,0.04975089209491941
2020-05-05,0.025357511425622866,0.009914026798853654,0.09021341441093618,0.927079471804155,0.9937838476958798,0.04521338809130316
2020-05-06,0.02823234556980679,0.00805514677406864,0.0889366611762918,0.9176793333095539,0.9950563617624201,0.04333934725794162
2020-05-07,0.02845348665782101,0.005809000077453369,0.08202726342185847,0.9087897270175824,0.9989880198401299,0.04023982453372232
2020-05-08,0.02823234556980679,0.0035628533808380975,0.07312502090108687,0.8987480812007408,1.0,0.03620484368647359
2020-05-09,0.02727406752174556,0.0016265200216869335,0.06285118005623819,0.8932966597615277,0.9966950832546821,0.034499843645785885
2020-05-10,0.026905499041721938,0.0005421733405623112,0.04936974756008732,0.8924415264615453,0.99300201442796,0.0328802676622504
2020-05-11,0.026610644257703136,7.745333436602684e-05,0.040168176921682265,0.8910973201014396,0.9861712488630613,0.03688617121313295
2020-05-12,0.027495208609759545,0.0,0.03303073817297349,0.8859289313968308,0.9775936195221364,0.035651920634038964
2020-05-13,0.032507739938080385,0.0037177600495701514,0.03064588860522126,0.8743808561993267,0.9670503200409805,0.04602781935919209
2020-05-14,0.03884711779448607,0.008907133452095059,0.03192490851189015,0.8632868503205081,0.957412940610192,0.0549675554696542
2020-05-15,0.04526020934689658,0.013012160173495468,0.028894081532291567,0.8560860967136895,0.9483420449798727,0.05256386602050235
2020-05-16,0.05277900633937771,0.017117186894895876,0.026079517555654092,0.8471293506733382,0.9412219649104209,0.04850516942605843
2020-05-17,0.06037151702786367,0.021067306947564108,0.02714355110992191,0.8380213640586269,0.9380984328564215,0.0442178213151403
2020-05-18,0.06965944272445809,0.025094880334598366,0.03414108991162317,0.8300593630459538,0.9305595153966437,0.044497678537721685
2020-05-19,0.07946336429308555,0.029045000387266724,0.04474460572294249,0.8192739935671646,0.9209656074934327,0.04726788504410032
2020-05-20,0.09007813651776506,0.03485400046471997,0.053466216296815396,0.8096928082208739,0.9100366385496803,0.04853679989864568
2020-05-21,0.10128261831048195,0.04352877391371695,0.062064600725939216,0.8018655997535857,0.9020606617682021,0.05601209114708079
2020-05-22,0.11152882205513784,0.05305553404074047,0.07091779473036905,0.7889626872166714,0.8938539094354742,0.06176772283967551
2020-05-23,0.12103788883974649,0.06219502749593373,0.07567767037653354,0.7789425031939128,0.8857205826347252,0.06674192846559408
2020-05-24,0.1280406899601946,0.06893346758577955,0.0769796350957352,0.7698958809293399,0.880713794079547,0.0688914930293376
2020-05-25,0.1351909184726521,0.07629153435055382,0.07551555344934069,0.759641018681632,0.8716754797179774,0.07357666575564371
2020-05-26,0.1427097154651335,0.08736736116489813,0.07926332444632754,0.7464954437532809,0.8614803364611631,0.08673757184683722
2020-05-27,0.15126050420168066,0.10146386801951822,0.08888467918986567,0.7337283258172541,0.8511628515550438,0.10581141315868958
2020-05-28,0.15922158337019024,0.11648981488653087,0.09701284499461804,0.7252377202130474,0.8374440427092745,0.1247484442932566
2020-05-29,0.16681409405867598,0.1316706684222756,0.10817151768354967,0.7174550181749438,0.8224817921324106,0.1465894469706157
2020-05-30,0.17425917735515253,0.14623189528309197,0.11317317026978384,0.7085369083344843,0.80792843219849,0.16121074253896878
2020-05-31,0.17897685389945456,0.15854697544729293,0.12154269866319618,0.7035215742452304,0.7955317642967915,0.18410964042010822
2020-06-01,0.18317853457172334,0.16985516226473546,0.13154846626201344,0.6949026643625333,0.7809239014964806,0.20699619466148958
2020-06-02,0.18833849329205357,0.1833320424444272,0.1466891520732538,0.6874504906278104,0.7688492639207868,0.23156348148478095
2020-06-03,0.19504643962848286,0.1976609093021455,0.1647681654797302,0.6795517033398907,0.7573991386441773,0.2546023719806354
2020-06-04,0.20426065162907273,0.21137014948493532,0.18529326785352587,0.6714585421227787,0.7409970362171546,0.27430805147805654
2020-06-05,0.21177944862155387,0.2223685229649136,0.20738681167839587,0.668865457429688,0.7288536375917334,0.2978166039680758
