,number_unique_users,weekly citywide penetration rate,no_real_movements,jl_simple_means_over_user_means,graph_modularity,rel_tweets_in_residential_areas,mean_rog
2020-04-21,2092303.7540983607,0.031006279721311474,5013905.262295082,4.0736691966065575,0.9467401942622947,81.04325482098363,7.037665154262295
2021-04-21,2514515.606557377,0.037263123885245907,7285739.131147541,4.688131068147542,0.9284793314590165,79.21487277508196,8.92269241452459
2022-04-21,2764186.9672131147,0.0409630553114754,7757274.868852459,4.800366278032787,0.9233602751803278,79.45809899573769,9.144449694360658
