date,number_unique_users,weekly citywide penetration rate,no_real_movements,jl_simple_means_over_user_means,graph_modularity,rel_tweets_in_residential_areas,mean_rog
2020-04-06,,,,,,,
2020-04-07,,,,,,,
2020-04-08,,,,,,,
2020-04-09,,,,,,,
2020-04-10,,,,,,,
2020-04-11,,,,,,,
2020-04-12,,,,,,,
2020-04-13,,,,,,,
2020-04-14,,,,,,,
2020-04-15,,,,,,,
2020-04-16,,,,,,,
2020-04-17,,,,,,,
2020-04-18,,,,,,,
2020-04-19,,,,,,,
2020-04-20,0.04418055488224146,0.04418056505806714,0.03016500140625487,0.0,1.0,0.9684447169075654,0.0
2020-04-21,0.042571461433686876,0.04257147148327851,0.03079345401376755,0.003505708658183932,0.9985406137142693,0.9751631881782804,0.00468584003375428
2020-04-22,0.03247650161080874,0.03247650938569539,0.00816635420335445,0.018206453269822363,0.9873190688416242,0.981179870424349,0.01680995728072352
2020-04-23,0.029036875285504152,0.029036880867271176,0.009028824430188124,0.022092032384114824,0.9855374994185111,0.9892489633345624,0.021748146979055794
2020-04-24,0.025395151385754964,0.025395157328651663,0.004470708586801006,0.028497937845195113,0.9840844834338868,0.9867171973824208,0.02836088978044294
2020-04-25,0.02807226232281702,0.028072268632604338,0.018930040089199046,0.0607540326408597,0.9659259761560562,0.9728291614545623,0.05214921117179687
2020-04-26,0.02706776711895619,0.027067772855761795,0.02377236870002054,0.07176028645495704,0.9610140637260819,0.977335367788319,0.06181850936955433
2020-04-27,0.024925946117315,0.024925950504906022,0.020656294435385865,0.08356604454584654,0.9548856570086844,0.982462461295046,0.07201899746629978
2020-04-28,0.02266261859852324,0.022662622933049978,0.01697585879494655,0.0939596556602576,0.9505036762150478,0.9817350416159324,0.08128119134281928
2020-04-29,0.019054866929079376,0.01905487054520613,0.012285128884560936,0.09635746135244914,0.9472405154217596,0.9893425274476785,0.08523072082126638
2020-04-30,0.0176017068442017,0.017601710715869714,0.010835259624104282,0.10155359189342285,0.9450612729005264,0.991779155056992,0.0910395135006693
2020-05-01,0.015127354741541985,0.015127358181712838,0.008558673601896362,0.10560861232018809,0.9446166888904098,0.9952149802358312,0.09609009660765533
2020-05-02,0.010490930551048999,0.010490933356154676,0.004771122317080397,0.11275744762640239,0.9460463568728439,0.9987788876812997,0.10319627489457812
2020-05-03,0.008973380277831004,0.008973381448969581,0.004379226036468497,0.11683420036179955,0.9438527912479204,1.0,0.10826125047430196
2020-05-04,0.006016721693827453,0.006016722797479153,0.0027656435411599154,0.119187645020029,0.9417078032900206,0.9986338553743009,0.11218118757754435
2020-05-05,0.002018289375871183,0.002018289625821822,0.0,0.12340383902944684,0.937649530745145,0.9994350114568528,0.11733876484459621
2020-05-06,0.0024791875660976977,0.0024791884241041643,0.009877398573426845,0.1476793462745612,0.9212172419705273,0.9933419292849298,0.13582429769629062
2020-05-07,0.0007101105366278624,0.000710111673527484,0.010495729754667246,0.1506887241499273,0.9205283751679773,0.9998062341887164,0.14017998490494013
2020-05-08,8.637708192026394e-05,8.637669171999197e-05,0.02143861721853705,0.1684993100067048,0.9067731514004966,0.9884876345375944,0.15436999273323432
2020-05-09,0.0,0.0,0.01751663691349654,0.1752984021308058,0.8986252065996274,0.9871145662059284,0.16124362695801772
2020-05-10,0.004480945443036564,0.004480945664916738,0.02227769347771637,0.18319374133724534,0.8949868879434221,0.9910166661229276,0.16884561545128846
2020-05-11,0.006626816661916119,0.006626817446108354,0.021438483602348762,0.1828632199429765,0.895313880859608,0.9973506992010173,0.17098208431909767
2020-05-12,0.01173219814836478,0.011732198097663628,0.028198883732504332,0.18433901527534272,0.8927595122231731,0.9981379121752502,0.17431869792997332
2020-05-13,0.016360315260644045,0.0163603176866229,0.030433959658845395,0.18911836680752053,0.8861756259241204,0.9930032515536469,0.1798502648562304
2020-05-14,0.02166709173283307,0.021667093353542423,0.03475467293947171,0.19198983661042276,0.8788810194050615,0.9908058498949466,0.18411415727500757
2020-05-15,0.025502688786308257,0.025502690341674066,0.036754127852231165,0.19167606814877272,0.8795885086845325,0.9882532490811158,0.18626166316821544
2020-05-16,0.036983649479652506,0.03698365084892436,0.058509582457539774,0.213938911458366,0.8586878694578484,0.9761384174347288,0.20340968943030158
2020-05-17,0.040756426837185805,0.04075642867842914,0.06467698280884106,0.22494693822175418,0.8510979432524961,0.9721971775355253,0.2130796714864703
2020-05-18,0.045207615582144575,0.045207617165874445,0.07106845750810907,0.24053282042434182,0.8433457727921828,0.9621215667514142,0.2257912875412475
2020-05-19,0.05090813103014856,0.050908133000270944,0.07807406561336509,0.2427916021052673,0.838739264832254,0.949764680866354,0.22964797487115335
2020-05-20,0.06379732746002235,0.06379733031767158,0.10663014995622351,0.23845850823162618,0.8438710472829584,0.9403416564805198,0.2291248088015955
2020-05-21,0.07200385283114141,0.07200385786885499,0.11461656769251645,0.24311625237427692,0.8378863209547516,0.9209304158310347,0.234575388077585
2020-05-22,0.08002981290517427,0.0800298176400403,0.12309422534550572,0.24620191613434828,0.8338431774171031,0.9117353500745804,0.23898140880324978
2020-05-23,0.08807304839559124,0.08807305163402444,0.12719786799337465,0.2511426723829948,0.8253669001906856,0.9027662935169481,0.24461998228592527
2020-05-24,0.08631062529444157,0.0863106291126363,0.13043783786871416,0.25699952346847876,0.8147875847273685,0.8941923148792008,0.2508672117594005
2020-05-25,0.09216496634000867,0.0921649703114011,0.13791160369411817,0.26068678028228304,0.8143273930521749,0.8835899615072239,0.2556728774521123
