date,number_unique_users,weekly citywide penetration rate,no_real_movements,jl_simple_means_over_user_means,graph_modularity,rel_tweets_in_residential_areas,mean_rog
2020-04-06,0.1795855174811351,0.17958555397417167,0.315225134804378,0.3620081690296019,0.7342135032474297,0.7002866543853111,0.16522118167424252
2020-04-07,0.20812741562770534,0.2081274549088519,0.3409543233875571,0.3291319511961662,0.724710520972436,0.6310184592345418,0.14100614347383839
2020-04-08,0.1817489315001261,0.18174897002571136,0.3289122799246592,0.3515903413534052,0.7290458020284117,0.641434022029181,0.1603956212002652
2020-04-09,0.17875133775502552,0.17875137441546904,0.37715645898285904,0.33432428756433114,0.6991074273384358,0.7318734303505654,0.16957659934497654
2020-04-10,0.0680141921322963,0.0680142104914237,0.16179881002355995,0.03507523042570454,0.9323629476623309,0.8969047418403833,0.0
2020-04-11,0.09688669470555757,0.09688672436121132,0.225275908966903,0.09453763695426533,0.8552022221207349,0.8109719504949121,0.2653975998476076
2020-04-12,0.05376923129358355,0.05376927782462907,0.12847933547624393,0.0013459437165876207,0.9613779187894506,0.9111157158417199,0.17156590780474082
2020-04-13,0.16481993987771046,0.16481997780695992,0.32060170620783013,0.33089013480602175,0.7479237591704833,0.7145505677813269,0.15387383115920528
2020-04-14,0.17756269555081425,0.17756272029242967,0.3295949845288298,0.3710208415719294,0.7474724737128663,0.6483632370750969,0.17501307636804317
2020-04-15,0.12866391503807062,0.12866391723200046,0.317022246874978,0.39403597898288417,0.7390752692415983,0.6662478424419701,0.19474834446516318
2020-04-16,0.1473226153877615,0.1473226188293324,0.2915975824639713,0.40587872936371566,0.7303994989677394,0.6996538733469979,0.22201261368842073
2020-04-17,0.1781182473193775,0.17811826501921377,0.34436918866371435,0.34004007765391253,0.7115865021307936,0.7063160639619487,0.19743834934205437
2020-04-18,0.10371691399513296,0.10371695760892453,0.24212339420125575,0.1600149781902476,0.8443523808332702,0.924159576844442,0.314058155076745
2020-04-19,0.0626248287332738,0.06262487466176148,0.12191621038375415,0.0546700627723188,0.9761410028701925,0.9601786942826877,0.21267639174217604
2020-04-20,0.18785574058799873,0.18785576467350784,0.3402488004432127,0.35598532905377755,0.7382096337602829,0.7132958520459647,0.17744747560925145
2020-04-21,0.07220213222813751,0.07220212766385627,0.16855119311396183,0.09122457768471165,0.9290622484825392,0.8132133007781736,0.00917778628207216
2020-04-22,0.1938952358879626,0.19389522927834543,0.3655966207380458,0.37382695446882847,0.712182163505177,0.6793791484243353,0.19017732118046055
2020-04-23,0.11663008432117027,0.11663012387520452,0.2083220499996812,0.1394380474124757,0.9016748279508517,0.8336243127125317,0.06447410245917798
2020-04-24,0.17494768270154942,0.17494771572048398,0.36811066492307704,0.40579942424347376,0.7035431515168737,0.6902118534215618,0.24627361729226052
2020-04-25,0.10752142112187374,0.10752142127453415,0.2513112995413849,0.18196072373593464,0.8367386858617073,0.8621525587494742,0.33567485688825655
2020-04-26,0.039968200625762604,0.039968228959404765,0.09247484697450621,0.1007744432983388,0.959881705991182,0.8867612625093666,0.2493011728421066
2020-04-27,0.18657251825140933,0.18657252650207679,0.3206560675476559,0.4107276413815455,0.726214333435525,0.680638542846456,0.2194383514147911
2020-04-28,0.1722721726504932,0.17227216585798727,0.33104747255004013,0.3767032710328739,0.7479249637793607,0.6970390687740681,0.1945098026531843
2020-04-29,0.1756549035112235,0.17565493991210518,0.3322761394992515,0.3921339496264595,0.7117368833771034,0.6713340957611776,0.20953319001308254
2020-04-30,0.1829239405321027,0.18292393964813236,0.3723879292322736,0.4412572841790614,0.6716738242282203,0.6694127157867313,0.25995725542437
2020-05-01,0.05652142793845986,0.05652147239016892,0.12323296283731296,0.17121822568550674,0.900092857629509,0.8749013448112504,0.10852665332667007
2020-05-02,0.11771818188015078,0.1177182141680695,0.2541303712443277,0.17939641723732516,0.845544146452945,0.9010872522458423,0.34206452989608904
2020-05-03,0.021727016175758857,0.021727019626736253,0.09783346571326272,0.0,1.0,1.0,0.19467931758842308
2020-05-04,0.1464108969945672,0.1464109320990605,0.32469491375841886,0.412817082905978,0.7130411913525104,0.7902562361140649,0.22871893025133638
2020-05-05,0.0,0.0,0.0,0.5421926871896116,0.561911918361248,0.7115901195514669,0.30529987589356267
2020-05-06,0.11083428197490133,0.11083427788011443,0.34190833134511767,0.40790479124843587,0.7031993596866086,0.7494902873326332,0.22731295632735843
2020-05-07,0.10367004996557624,0.10367009681899184,0.3084729194958892,0.42716631484244144,0.6780275337450805,0.6979695979798961,0.2591857786560108
2020-05-08,0.12320808992440406,0.12320811382790609,0.37967788557206417,0.5025690532894529,0.6689251016362163,0.7109248167778182,0.32235518922933754
2020-05-09,0.0761770540078118,0.07617707260817785,0.2982420817842868,0.25405340299959894,0.78394175942834,0.8713162584029828,0.3964261158565582
2020-05-10,0.009611386425450405,0.009611406755739108,0.08152506376551605,0.17244907993554184,0.8724689440317113,0.979774557964859,0.3097925702313323
2020-05-11,0.1181569996114546,0.11815703815428522,0.26514340823453497,0.48152675166916037,0.6843513760477475,0.7048094166123853,0.2793856825683419
2020-05-12,0.10318181198492171,0.1031818246372645,0.25891316245752183,0.40577270340233057,0.7001315751759727,0.7502379479595389,0.2285330915656826
2020-05-13,0.09870416697909352,0.09870417553787417,0.29517502841386695,0.46934450427357577,0.7074595121213599,0.6988776413955594,0.27346320763510257
2020-05-14,0.09630898903211293,0.09630898544434863,0.2572930603051819,0.46464892498436183,0.7239496156039936,0.7456643036633233,0.29045299022389187
